OBJECTID,TRAFFICMARKINGID,CREATE_DATE,UPDATE_DATE,STATUS,STATUS_DATE,SOURCE,SOURCE_DATE,CATEGORY,SUBCATEGORY,LOCATION_DESCRIPTION,LAST_YEAR_PAINTED,TIME_OF_WORK,ROADSEGMENTID,OWNERSHIP,Shape__Length
50308,63411,2019/02/13 11:10:01+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,LANE DIVIDER,,,,,,REGION,75.4849420105392
50309,63412,2019/02/13 11:10:06+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:56+00,ORTHO 2018,1970/01/01 00:00:00+00,STOP LINE,,,,,,REGION,4.58781356022751
50310,63413,2019/02/13 11:10:10+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:05+00,ORTHO 2018,1970/01/01 00:00:00+00,STOP LINE,,,,,,REGION,4.31003998818258
50311,63414,2019/02/13 11:10:35+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:55+00,ORTHO 2018,1970/01/01 00:00:00+00,TURNING ARROW,,,,,,REGION,4.16295590408473
50312,63415,2019/02/13 11:12:10+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,REGION,19.5522848238259
50313,63416,2019/02/13 11:12:13+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:52+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,REGION,19.8184593027271
50314,63417,2019/02/13 11:12:15+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,REGION,15.7975226660053
50315,63418,2019/02/13 11:12:26+00,2019/12/02 19:52:13+00,ACTIVE,2019/11/25 14:22:55+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,REGION,13.913243278044
50316,63419,2019/02/13 11:12:31+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,REGION,20.8291233118429
50317,63420,2019/02/13 11:12:33+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,REGION,21.9830138516391
50318,63421,2019/02/13 11:12:41+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:52+00,ORTHO 2018,1970/01/01 00:00:00+00,STOP LINE,,,,,,REGION,4.13103960260565
50319,63422,2019/02/13 11:12:45+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:55+00,ORTHO 2018,1970/01/01 00:00:00+00,STOP LINE,,,,,,REGION,5.03621619856506
50320,63423,2019/02/13 11:12:49+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,STOP LINE,,,,,,REGION,4.01834719859145
50321,63424,2019/02/13 11:12:51+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:55+00,ORTHO 2018,1970/01/01 00:00:00+00,STOP LINE,,,,,,REGION,4.73757059636258
50322,63425,2019/02/13 11:13:06+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:56+00,ORTHO 2018,1970/01/01 00:00:00+00,CENTRE LINE,,,,,,REGION,106.473914656938
50323,63426,2019/02/13 11:13:24+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,LANE DIVIDER,,,,,,REGION,68.9326583761778
50324,63427,2019/02/13 11:13:37+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,LANE DIVIDER,,,,,,REGION,74.1599914460838
50325,63428,2019/02/13 11:13:46+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:56+00,ORTHO 2018,1970/01/01 00:00:00+00,TURNING ARROW,,,,,,REGION,4.01559477203688
50326,63429,2019/02/13 11:13:52+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,TURNING ARROW,,,,,,REGION,3.69824005430293
50327,63430,2019/02/13 11:13:55+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,TURNING ARROW,,,,,,REGION,3.79445296730797
50328,63431,2019/02/13 11:14:00+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:55+00,ORTHO 2018,1970/01/01 00:00:00+00,TURNING ARROW,,,,,,REGION,3.76099194186448
50329,63432,2019/02/13 11:15:55+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,REGION,23.289536504873
50330,63433,2019/02/13 11:15:58+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:05+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,REGION,19.1797310174318
50331,63434,2019/02/13 11:16:01+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:52+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,REGION,12.8106801235561
50332,63435,2019/02/13 11:16:05+00,2019/11/27 08:43:12+00,ACTIVE,2019/11/25 14:22:55+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,KITCHENER,11.5976977884128
50333,63436,2019/02/13 11:16:08+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:05+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,REGION,20.8642259689135
50334,63437,2019/02/13 11:16:11+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:52+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,REGION,19.7536164125967
50335,63438,2019/02/13 11:16:18+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,REGION,16.2056837018215
50336,63439,2019/02/13 11:16:21+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,REGION,12.2631605675513
50337,63440,2019/02/13 11:16:29+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:05+00,ORTHO 2018,1970/01/01 00:00:00+00,STOP LINE,,,,,,REGION,5.61607710405852
50338,63441,2019/02/13 11:16:31+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,STOP LINE,,,,,,REGION,4.15171835673635
50339,63442,2019/02/13 11:16:49+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:05+00,ORTHO 2018,1970/01/01 00:00:00+00,CENTRE LINE,,,,,,REGION,189.828117189011
50340,63443,2019/02/13 11:17:00+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:55+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,REGION,20.2329226248508
50341,63444,2019/02/13 11:17:05+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:52+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,REGION,19.7573063946637
50342,63445,2019/02/13 11:17:10+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:56+00,ORTHO 2018,1970/01/01 00:00:00+00,STOP LINE,,,,,,REGION,4.42071653910055
50343,63446,2019/02/13 11:17:14+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:56+00,ORTHO 2018,1970/01/01 00:00:00+00,STOP LINE,,,,,,REGION,4.3937492264879
50344,63447,2019/02/13 11:17:23+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:56+00,ORTHO 2018,1970/01/01 00:00:00+00,LANE DIVIDER,,,,,,REGION,116.115160722325
50345,63448,2019/02/13 11:17:29+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:55+00,ORTHO 2018,1970/01/01 00:00:00+00,TURNING ARROW,,,,,,REGION,3.86980089082201
50346,63449,2019/02/13 11:17:35+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,TURNING ARROW,,,,,,REGION,4.00108394732155
50347,63450,2019/02/13 11:17:46+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:56+00,ORTHO 2018,1970/01/01 00:00:00+00,LANE DIVIDER,,,,,,REGION,122.384017137469
50348,63451,2019/02/13 11:17:54+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,TURNING ARROW,,,,,,REGION,3.83624424669029
50349,63452,2019/02/13 11:17:59+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,TURNING ARROW,,,,,,REGION,3.7291837308528
50350,63453,2019/02/13 11:18:41+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,TURNING ARROW,,,,,,REGION,3.35206047644432
50352,63455,2019/02/13 11:21:13+00,2019/11/27 08:43:28+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,SHARROW,,,,,,KITCHENER,10.8683702783652
50353,63456,2019/02/13 11:21:20+00,2019/11/27 08:43:09+00,ACTIVE,2019/11/25 14:22:56+00,ORTHO 2018,1970/01/01 00:00:00+00,SHARROW,,,,,,KITCHENER,11.905902672475
50354,63457,2019/02/13 11:21:26+00,2019/11/27 08:43:09+00,ACTIVE,2019/11/25 14:22:56+00,ORTHO 2018,1970/01/01 00:00:00+00,SHARROW,,,,,,KITCHENER,11.4841972363588
50356,63459,2019/02/13 11:22:03+00,2019/11/27 08:43:17+00,ACTIVE,2019/11/25 14:22:56+00,ORTHO 2018,1970/01/01 00:00:00+00,SHARROW,,,,,,KITCHENER,8.50929908655992
50357,63460,2019/02/13 11:22:10+00,2019/11/27 08:43:06+00,ACTIVE,2019/11/25 14:22:52+00,ORTHO 2018,1970/01/01 00:00:00+00,BIKE/EDGE LINE,,,,,,KITCHENER,5.04499203170414
50358,63461,2019/02/13 11:22:30+00,2019/11/27 08:43:23+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,BIKE/EDGE LINE,,,,,,KITCHENER,62.42260297762
50359,63462,2019/02/13 11:23:04+00,2019/11/27 08:43:31+00,ACTIVE,2019/11/25 14:23:05+00,ORTHO 2018,1970/01/01 00:00:00+00,BIKE/EDGE LINE,,,,,,KITCHENER,52.3924858405853
50360,63463,2019/02/13 11:24:29+00,2019/11/27 08:43:09+00,ACTIVE,2019/11/25 14:22:56+00,ORTHO 2018,1970/01/01 00:00:00+00,BIKE/EDGE LINE,,,,,,KITCHENER,5.05495166908232
50361,63464,2019/02/13 11:24:34+00,2019/11/27 08:43:12+00,ACTIVE,2019/11/25 14:22:55+00,ORTHO 2018,1970/01/01 00:00:00+00,BIKE/EDGE LINE,,,,,,KITCHENER,5.1290277174266
50362,63465,2019/02/13 11:24:43+00,2019/11/27 08:43:23+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,SHARROW,,,,,,KITCHENER,8.90574307392106
50363,63466,2019/02/13 11:24:49+00,2019/11/27 08:43:06+00,ACTIVE,2019/11/25 14:22:52+00,ORTHO 2018,1970/01/01 00:00:00+00,SHARROW,,,,,,KITCHENER,8.10784807302326
50364,63467,2019/02/13 11:25:10+00,2019/11/27 08:43:23+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,SHARROW,,,,,,KITCHENER,8.56009254665358
50365,63468,2019/02/13 11:25:17+00,2019/11/27 08:43:17+00,ACTIVE,2019/11/25 14:22:56+00,ORTHO 2018,1970/01/01 00:00:00+00,BIKE/EDGE LINE,,,,,,KITCHENER,5.59824601914852
50366,63469,2019/02/13 11:25:37+00,2019/11/27 08:43:23+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,BIKE/EDGE LINE,,,,,,KITCHENER,155.799448550256
50367,63470,2019/02/13 11:26:08+00,2019/11/27 08:43:20+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,LANE DIVIDER,,,,,,KITCHENER,49.1408423775917
50368,63471,2019/02/13 11:26:16+00,2019/11/27 08:43:28+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,BIKE/EDGE LINE,,,,,,KITCHENER,5.78632759718073
50369,63472,2019/02/13 11:26:48+00,2019/11/27 08:43:23+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,SHARROW,,,,,,KITCHENER,8.44188359627507
50370,63473,2019/02/13 11:27:18+00,2019/11/27 08:43:09+00,ACTIVE,2019/11/25 14:22:56+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,KITCHENER,13.1352288529555
50371,63474,2019/02/13 11:27:24+00,2019/11/27 08:43:31+00,ACTIVE,2019/11/25 14:23:05+00,ORTHO 2018,1970/01/01 00:00:00+00,CENTRE LINE,,,,,,KITCHENER,16.6256819632343
50372,63475,2019/02/13 11:27:49+00,2019/11/27 08:43:20+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,KITCHENER,16.8970019106515
50373,63476,2019/02/13 11:28:02+00,2019/11/27 08:43:23+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,KITCHENER,20.8549302510834
50374,63477,2019/02/13 11:28:09+00,2019/11/27 08:43:28+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,KITCHENER,25.3304552044172
50375,63478,2019/02/13 11:28:12+00,2019/11/27 08:43:20+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,KITCHENER,17.5805765631699
50376,63479,2019/02/13 11:28:22+00,2019/11/27 08:43:12+00,ACTIVE,2019/11/25 14:22:55+00,ORTHO 2018,1970/01/01 00:00:00+00,CENTRE LINE,,,,,,KITCHENER,12.8376317098135
50377,63480,2019/02/13 11:28:41+00,2019/11/27 08:43:09+00,ACTIVE,2019/11/25 14:22:56+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,KITCHENER,20.605652889056
50379,63482,2019/02/13 11:29:52+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:56+00,ORTHO 2018,1970/01/01 00:00:00+00,CENTRE LINE,,,,,,REGION,115.962836221127
50380,63483,2019/02/13 11:30:24+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,LANE DIVIDER,,,,,,REGION,45.8212869414657
50381,63484,2019/02/13 11:30:29+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,LANE DIVIDER,,,,,,REGION,75.9358748642616
50382,63485,2019/02/13 11:30:54+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,LANE DIVIDER,,,,,,REGION,206.118540510831
50383,63486,2019/02/13 11:31:00+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:05+00,ORTHO 2018,1970/01/01 00:00:00+00,RR TRACK STOP LINE,,,,,,REGION,9.09662158534041
50384,63487,2019/02/13 11:31:23+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:56+00,ORTHO 2018,1970/01/01 00:00:00+00,LANE DIVIDER,,,,,,REGION,159.764565539889
50385,63488,2019/02/13 11:31:30+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:05+00,ORTHO 2018,1970/01/01 00:00:00+00,TURNING ARROW,,,,,,REGION,3.76451729030685
50386,63489,2019/02/13 11:31:34+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,TURNING ARROW,,,,,,REGION,3.64799530737783
50387,63490,2019/02/13 11:31:37+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:56+00,ORTHO 2018,1970/01/01 00:00:00+00,TURNING ARROW,,,,,,REGION,3.19821383102717
50388,63491,2019/02/13 11:31:42+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,TURNING ARROW,,,,,,REGION,4.0498005150684
50389,63492,2019/02/13 11:31:45+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,TURNING ARROW,,,,,,REGION,3.60797009709751
50390,63493,2019/02/13 11:31:53+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:52+00,ORTHO 2018,1970/01/01 00:00:00+00,RR TRACK STOP LINE,,,,,,REGION,8.66104109988119
50391,63494,2019/02/13 11:31:58+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,TURNING ARROW,,,,,,REGION,3.75258206969684
50392,63495,2019/02/13 11:32:01+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,TURNING ARROW,,,,,,REGION,3.55884979815223
50393,63496,2019/02/13 11:32:13+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:56+00,ORTHO 2018,1970/01/01 00:00:00+00,LANE DIVIDER,,,,,,REGION,101.235175031337
50394,63497,2019/02/13 11:32:19+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,LANE DIVIDER,,,,,,REGION,99.960649157781
50395,63498,2019/02/13 11:32:25+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:55+00,ORTHO 2018,1970/01/01 00:00:00+00,ADVANCE CROSSING MARKING,,,,,,REGION,16.0650683010551
50397,63500,2019/02/13 11:32:32+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:52+00,ORTHO 2018,1970/01/01 00:00:00+00,TURNING ARROW,,,,,,REGION,3.64473442522199
50398,63501,2019/02/13 11:32:35+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,TURNING ARROW,,,,,,REGION,3.71659799131295
50399,63502,2019/02/13 11:33:47+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:55+00,ORTHO 2018,1970/01/01 00:00:00+00,BIKE/EDGE LINE,,,,,,REGION,197.868895981094
50400,63503,2019/02/13 11:34:25+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,REGION,15.9064553899099
50401,63504,2019/02/13 11:34:33+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,LANE DIVIDER,,,,,,REGION,27.6654294046228
50402,63505,2019/02/13 11:34:35+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,LANE DIVIDER,,,,,,REGION,28.2493156495271
50403,63506,2019/02/13 11:34:41+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,TURNING ARROW,,,,,,REGION,3.54402845313785
50404,63507,2019/02/13 11:34:44+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:52+00,ORTHO 2018,1970/01/01 00:00:00+00,TURNING ARROW,,,,,,REGION,3.72553438438672
50405,63508,2019/02/13 11:35:05+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:56+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,REGION,14.2499555994365
50406,63509,2019/02/13 11:35:20+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:05+00,ORTHO 2018,1970/01/01 00:00:00+00,CENTRE LINE,,,,,,REGION,126.706112538176
50408,63511,2019/02/13 11:36:00+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:02+00,ORTHO 2018,1970/01/01 00:00:00+00,BIKE/EDGE LINE,,,,,,REGION,137.844556029403
50409,63512,2019/02/13 11:56:19+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:56+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,REGION,99.1130274098699
50410,63513,2019/02/13 11:56:22+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:56+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,REGION,21.6772579859223
50411,63514,2019/02/13 11:56:26+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:59+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,REGION,22.8294673702711
50412,63515,2019/02/13 11:56:29+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:55+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,REGION,17.6040881907755
50413,63516,2019/02/13 11:57:24+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:59+00,ORTHO 2018,1970/01/01 00:00:00+00,STOP LINE,,,,,,REGION,6.25359801251583
50414,63517,2019/02/13 11:57:26+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:52+00,ORTHO 2018,1970/01/01 00:00:00+00,STOP LINE,,,,,,REGION,4.12252707157126
50415,63518,2019/02/13 11:57:29+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:59+00,ORTHO 2018,1970/01/01 00:00:00+00,STOP LINE,,,,,,REGION,8.83161992730663
50416,63519,2019/02/13 11:57:31+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:59+00,ORTHO 2018,1970/01/01 00:00:00+00,STOP LINE,,,,,,REGION,4.37320569106501
50417,63520,2019/02/13 11:57:54+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:55+00,ORTHO 2018,1970/01/01 00:00:00+00,CENTRE LINE,,,,,,REGION,158.484812297177
50418,63521,2019/02/13 11:59:01+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:59+00,ORTHO 2018,1970/01/01 00:00:00+00,CENTRE LINE,,,,,,REGION,305.510551565957
50419,63522,2019/02/13 12:35:16+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:55+00,ORTHO 2018,1970/01/01 00:00:00+00,TURNING ARROW,,,,,,REGION,3.68544558156152
50420,63523,2019/02/13 12:35:23+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:59+00,ORTHO 2018,1970/01/01 00:00:00+00,TURNING ARROW,,,,,,REGION,3.74871357529454
50421,63524,2019/02/13 12:35:37+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:52+00,ORTHO 2018,1970/01/01 00:00:00+00,LANE DIVIDER,,,,,,REGION,87.7476038822022
50422,63525,2019/02/13 12:36:02+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:52+00,ORTHO 2018,1970/01/01 00:00:00+00,LANE DIVIDER,,,,,,REGION,193.980774318967
50423,63526,2019/02/13 12:36:23+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:56+00,ORTHO 2018,1970/01/01 00:00:00+00,LANE DIVIDER,,,,,,REGION,105.94384153423
50424,63527,2019/02/13 12:36:39+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:52+00,ORTHO 2018,1970/01/01 00:00:00+00,CENTRE LINE,,,,,,REGION,99.2576692467756
50425,63528,2019/02/13 12:36:46+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:05+00,ORTHO 2018,1970/01/01 00:00:00+00,TURNING ARROW,,,,,,REGION,3.96779674601119
50426,63529,2019/02/13 12:36:51+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:56+00,ORTHO 2018,1970/01/01 00:00:00+00,TURNING ARROW,,,,,,REGION,3.43753271171719
50427,63530,2019/02/13 12:36:58+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:23:05+00,ORTHO 2018,1970/01/01 00:00:00+00,TURNING ARROW,,,,,,REGION,3.55137488431581
50428,63531,2019/02/13 12:37:01+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:55+00,ORTHO 2018,1970/01/01 00:00:00+00,TURNING ARROW,,,,,,REGION,3.91830133622295
50429,63532,2019/02/13 12:37:09+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:59+00,ORTHO 2018,1970/01/01 00:00:00+00,TURNING ARROW,,,,,,REGION,3.90191784066794
50430,63533,2019/02/13 12:37:12+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:55+00,ORTHO 2018,1970/01/01 00:00:00+00,TURNING ARROW,,,,,,REGION,4.05709085131908
50431,63534,2019/02/13 12:37:30+00,2019/11/27 20:33:25+00,ACTIVE,2019/11/25 14:22:59+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,REGION,15.0694318663803
50432,63535,2019/02/13 12:37:46+00,2019/11/27 08:43:06+00,ACTIVE,2019/11/25 14:22:52+00,ORTHO 2018,1970/01/01 00:00:00+00,CENTRE LINE,,,,,,KITCHENER,13.9685152840426
50433,63536,2019/02/13 12:38:12+00,2019/11/26 15:56:48+00,ACTIVE,2019/11/25 14:22:56+00,ORTHO 2018,1970/01/01 00:00:00+00,LANE DIVIDER,,,,,,REGION,33.8690433772705
50434,63537,2019/02/13 12:39:41+00,2019/11/27 08:43:31+00,ACTIVE,2019/11/25 14:23:05+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,KITCHENER,23.0179554066314
50437,63540,2019/02/13 12:41:26+00,2019/11/27 08:43:09+00,ACTIVE,2019/11/25 14:22:56+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,KITCHENER,65.9692302545294
50438,63541,2019/02/13 12:41:36+00,2019/11/27 08:43:23+00,ACTIVE,2019/11/25 14:22:59+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,KITCHENER,14.6353666914966
50439,63542,2019/02/13 12:41:39+00,2019/11/27 08:43:17+00,ACTIVE,2019/11/25 14:22:56+00,ORTHO 2018,1970/01/01 00:00:00+00,CROSSWALK LINE,,,,,,KITCHENER,15.5224167786305
50440,63543,2019/02/13 12:41:58+00,2019/11/27 08:43:20+00,ACTIVE,2019/11/25 14:22:59+00,ORTHO 2018,1970/01/01 00:00:00+00,CENTRE LINE,,,,,,KITCHENER,23.1889303321288
