,STREET,LANES,CATEGORY,SUBCATEGORY,PAVEMENT_WIDTH,ROW_WIDTH,SHOULDER,FLOW_DIRECTION,SURFACE_LAYER_TYPE,OFFICIAL_ROAD_CLASSIFICATION,SPEED_LIMIT_KM,TRUCK_ACCESS,BUS_ROUTE,SERVICE_YEAR,Shape__Length
2647,GREENBROOK DR,2,ROAD,MINOR,10.0,20.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,Y,1964.0,469.52800211445503
2648,OXFORD ST,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1926.0,190.78844153839
2649,DIRKSEN CRT,1,BULB,LOCAL,8.0,40.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,2000.0,61.0920150633365
2650,WINDFLOWER CRES,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2003.0,504.666535008165
2651,CHELSEA RD,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1952.0,90.5838456131995
2652,BRIDGE ST W,2,ROAD,MAJOR,9.0,20.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,273.85418822455
2653,SHERWOOD AVE,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1954.0,214.061955975103
2654,CHELSEA RD,2,ROAD,LOCAL,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1952.0,160.67683070420298
2655,KENSINGTON AVE,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1954.0,205.54444616863898
2656,HEARTH CRES,2,ROAD,LOCAL,8.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1957.0,406.637536925005
2657,CONESTOGA PKY(HWY 7) STRA BND HWY,2,HIGHWAY,HIGHWAY,15.0,114.0,PAVED,FromTo,PAVED,0,90,24HR,N,,372.27562793867304
2658,DOON SOUTH DR,3,ROAD,MINOR,15.0,30.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,N,1989.0,176.734786884627
2659,DOON SOUTH DR,1,ROUNDABOUT,MINOR,9.0,16.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,2002.0,21.904870193843102
2660,DOON SOUTH DR,1,ROUNDABOUT,MINOR,10.0,26.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,2002.0,19.091853183150803
2661,DOON SOUTH DR,1,ROUNDABOUT,MINOR,10.0,25.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,2002.0,24.6680236369448
2662,HURON RD,4,ROAD,MAJOR,9.0,34.0,PAVED,TwoWay,PAVED,6,50,7-7 MON-SUN,N,,328.07016539812304
2663,BINGEMAN ST,2,ROAD,LOCAL,7.0,12.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1886.0,100.18803172024201
2664,MADISON AVE S,2,ROAD,MINOR,7.0,12.0,PAVED,TwoWay,PAVED,5,50,NO ACCESS,N,1861.0,183.89641728630198
2665,MANCHESTER RD,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1958.0,87.09357986849442
2666,ARNOLD ST,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1896.0,95.27140217013809
2667,ARNOLD ST,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1926.0,205.615430308103
2668,ARNOLD ST,2,ROAD,LOCAL,8.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1947.0,104.77360156135401
2669,COLLEGE ST,2,ROAD,LOCAL,9.0,16.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,63.7907784564715
2670,CONESTOGA COLLEGE BLVD,4,ROAD,MINOR,19.0,31.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,132.433258762148
2671,DOON VILLAGE RD,2,ROAD,MINOR,7.0,30.0,PAVED,TwoWay,PAVED,7,50,NO ACCESS,N,1860.0,308.72172265995897
2672,TILT DR,2,ROAD,MINOR,7.0,13.0,PAVED,TwoWay,PAVED,7,50,NO ACCESS,N,1867.0,239.14883266892602
2673,DEER RIDGE DR,2,ROAD,MINOR,9.0,18.0,PAVED,TwoWay,PAVED,6,40,NO ACCESS,N,,328.65236842488497
2674,DOON VILLAGE RD,2,ROAD,LOCAL,6.0,30.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1998.0,48.9277932718804
2675,BAXTER PL,2,ROAD,LOCAL,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1955.0,123.252790162241
2676,TRADEWINDS PL,1,BULB,LOCAL,8.0,40.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1992.0,107.11888973969101
2677,LYNN CRT,1,BULB,LOCAL,8.0,16.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,2003.0,62.7521663067792
2678,BEDFORD RD,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1949.0,339.112628739215
2679,DEER RIDGE DR,2,ROAD,MINOR,9.0,19.0,PAVED,TwoWay,PAVED,1,40,NO ACCESS,N,1998.0,288.80886052342703
2680,LENNOX LEWIS WAY,2,ROAD,MINOR,10.0,58.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,72.6353750732982
2681,COUNTRYSTONE DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2007.0,58.441712436457394
2682,RESURRECTION DR,2,ROAD,MINOR,11.0,27.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,N,1990.0,250.642311620043
2683,FORWELL RD,2,ROAD,LOCAL,8.0,15.0,GRAVEL,TwoWay,PAVED,6,50,NO ACCESS,N,1999.0,615.140710065154
2684,GAUKEL ST,2,ROAD,LOCAL,15.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,Y,2007.0,103.24693681740601
2685,ARNOLD ST,2,ROAD,LOCAL,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1946.0,67.81346607055839
2686,COLEBROOK CRT,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1974.0,314.198987818855
2687,ZELLER CRES,2,ROAD,LOCAL,9.0,16.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2005.0,349.120352801913
2688,SIMS ESTATE DR,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1994.0,325.606974406432
2689,MAGDALENA CRT,1,BULB,LOCAL,8.0,20.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,2007.0,64.9118811977949
2690,EDENBRIDGE DR,2,ROAD,MINOR,10.0,23.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,Y,1986.0,186.04842233308702
2691,OLDFIELD DR,2,ROAD,MINOR,10.0,20.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,Y,1986.0,24.7250705799022
2692,OLDFIELD DR,2,ROAD,MINOR,10.0,23.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,Y,1987.0,84.95660860490341
2693,SPRINGMOUNT DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1987.0,105.977253958088
2694,HICKSON DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1960.0,98.67461025959308
2695,PONDCLIFFE DR,2,ROAD,LOCAL,8.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,227.49813984631402
2696,HUGO CRES,1,BULB,LOCAL,12.0,43.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1962.0,74.0683249209018
2697,SILVERSPRING CRES,1,BULB,LOCAL,9.0,43.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1965.0,82.1536632566337
2698,BARCLAY AVE,2,ROAD,LOCAL,8.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1913.0,89.5613743429632
2699,DINISON PL,2,ROAD,LOCAL,9.0,16.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1986.0,50.6058106427749
2700,RISTAU PL,2,ROAD,LOCAL,8.0,21.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1986.0,20.987978321047198
2701,DOLL CRT,2,ROAD,LOCAL,8.0,16.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2005.0,38.284574074226704
2702,WANDSWORTH PL,2,ROAD,LOCAL,12.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1952.0,186.308270283502
2703,AVON RD,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1958.0,88.7869892270039
2704,MATTHEW ST,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1976.0,86.07997702945428
2705,BREITHAUPT ST,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,201.114647294582
2706,LANARK CRES,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,95.98610211158258
2707,RENNIE DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1963.0,363.61402642069703
2708,GAY CRES,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1966.0,570.0851567779989
2709,GREENFIELD AVE,2,ROAD,LOCAL,8.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2006.0,118.07293628985501
2710,STRASBURG RD,4,ROAD,MAJOR,15.0,26.0,PAVED,TwoWay,PAVED,2,50,NO ACCESS,Y,2000.0,246.602102004982
2711,STRASBURG RD,4,ROAD,MAJOR,15.0,26.0,PAVED,TwoWay,PAVED,2,50,NO ACCESS,Y,1999.0,143.434891781622
2712,OTTAWA ST S,4,ROAD,MAJOR,14.0,23.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,211.511551870765
2713,WESTMOUNT RD E,5,ROAD,MAJOR,15.0,26.0,PAVED,TwoWay,PAVED,6,50,7-7 MON-FRI,N,,188.056028918884
2714,STRASBURG RD,4,ROAD,MAJOR,15.0,26.0,PAVED,TwoWay,PAVED,2,50,NO ACCESS,Y,2000.0,192.72674283060002
2715,KING ST E,5,ROAD,MAJOR,14.0,28.0,PAVED,TwoWay,PAVED,1,50,24HR,Y,0.0,32.8214509435158
2716,STRASBURG RD,4,ROAD,MAJOR,16.0,26.0,PAVED,TwoWay,PAVED,2,50,NO ACCESS,Y,2000.0,187.137067240735
2717,MICHENER CRES,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1987.0,100.346876002635
2718,ST LEGER ST,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,N,1854.0,102.361304561141
2719,LANG CRES,2,ROAD,LOCAL,7.0,12.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1910.0,334.50638879181304
2720,DEER RIDGE DR,2,ROAD,MINOR,10.0,20.0,PAVED,TwoWay,PAVED,1,50,NO ACCESS,N,1998.0,102.00230244980801
2721,DEER RIDGE DR,2,ROAD,MINOR,10.0,20.0,PAVED,TwoWay,PAVED,1,50,NO ACCESS,N,1998.0,148.24323402530501
2722,COURTLAND AVE E,2,ROAD,MAJOR,9.0,18.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,201.694025982192
2723,COURTLAND AVE E,2,ROAD,MAJOR,10.0,18.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,114.99111075338499
2724,COURTLAND AVE E,3,ROAD,MAJOR,11.0,18.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,70.94512661397471
2725,CARLTON ST,2,ROAD,LOCAL,8.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1953.0,149.980524152004
2726,HIGHVIEW DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,95.2337006221323
2727,PARK ST,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,276.217575355665
2728,KING ST W,2,ROAD,MAJOR,10.0,19.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,161.055174708614
2729,RIVER RD E,3,ROAD,MAJOR,12.0,30.0,PAVED,TwoWay,PAVED,6,50,7-7 MON-SUN,N,,291.764296112879
2730,ELKINGTON DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1958.0,361.266916051883
2731,TANGLEWOOD AVE,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1958.0,311.73100994707994
2732,MAPLE MANOR CRT,2,ROAD,LOCAL,8.0,16.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2000.0,85.1381577242585
2733,OLD HURON CRT,2,ROAD,LOCAL,8.0,16.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1990.0,251.844452136846
2734,SPRINGMOUNT DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1987.0,84.19602864838491
2735,FORFAR AVE,2,ROAD,LOCAL,8.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1952.0,134.27781872208598
2736,BELMONT AVE W,4,ROAD,MINOR,18.0,26.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,51.1480580736879
2737,WILLIAMSBURG RD,2,ROAD,MINOR,11.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,68.5962810367671
2738,HIGHBROOK ST,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1996.0,80.8070308273466
2739,PEBBLECREEK CRT,2,ROAD,LOCAL,8.0,16.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2007.0,93.1175975998724
2740,QUEENSTON DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2000.0,53.04633050419121
2741,BLACKWELL DR,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,91.63473902021829
2742,OAKDALE CRT,2,ROAD,LOCAL,9.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2003.0,89.7897326154708
2743,WOODFIELD ST,2,ROAD,LOCAL,8.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2003.0,185.46374599652302
2744,BECHTEL DR,2,ROAD,MINOR,10.0,26.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,Y,1978.0,87.25696342481409
2745,LORNE CRES,2,ROAD,LOCAL,7.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1947.0,272.589016584134
2746,WEDGEWOOD DR,2,ROAD,LOCAL,12.0,26.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1956.0,94.6951532319571
2747,DERBY LANE,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1976.0,213.732455218111
2748,TARTAN AVE,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,81.92464702792621
2749,THOMAS SLEE DR,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,171.516497136918
2750,THOMAS SLEE DR,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,44.0519540388074
2751,THOMAS SLEE DR,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2005.0,371.129126573172
2752,THOMAS SLEE DR,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,174.41018880625802
2753,OTTAWA ST S,6,ROAD,MAJOR,24.0,48.0,NONE,TwoWay,PAVED,6,50,24HR,N,,134.787924213723
2754,EMMA AVE,2,ROAD,LOCAL,7.0,12.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,69.0114242863586
2755,WILHELM ST,2,ROAD,LOCAL,7.0,12.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1854.0,151.97279893574
2756,WESTCHESTER DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1986.0,95.195790111581
2757,QUEENS BLVD,2,ROAD,MAJOR,9.0,18.0,PAVED,ToFrom,PAVED,3,50,NO ACCESS,Y,1913.0,74.3416249059422
2758,QUEENS BLVD,2,ROAD,MAJOR,8.0,18.0,PAVED,ToFrom,PAVED,3,50,NO ACCESS,Y,1913.0,73.49057068325621
2759,LORRAINE AVE,4,ROAD,MINOR,14.0,26.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,N,1966.0,107.7512143349
2760,KEEWATIN AVE,2,ROAD,MINOR,10.0,20.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,Y,1995.0,90.50888116666
2761,CONFEDERATION DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,Y,1966.0,135.826667906339
2762,GAGE AVE,2,ROAD,MINOR,8.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1863.0,762.578919520148
2763,BELMONT AVE W,4,ROAD,MINOR,13.0,26.0,PAVED,TwoWay,PAVED,2,50,24HR,Y,2002.0,548.70359914458
2764,DUNBAR RD,2,ROAD,LOCAL,7.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2005.0,175.293075038177
2765,UNION BLVD,4,ROAD,MINOR,12.0,25.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,113.599787848766
2766,TRAILVIEW DR,2,ROAD,LOCAL,8.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,251.544163277426
2767,OLD CHICOPEE DR,2,ROAD,MINOR,9.0,22.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,Y,2000.0,192.215538502268
2768,INDIAN RD,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,40,NO ACCESS,N,1965.0,246.070640139277
2769,HEINS AVE,2,ROAD,LOCAL,7.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2007.0,315.913115271276
2770,CENTURY HILL DR,2,ROAD,LOCAL,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,Y,1974.0,107.401890496212
2771,LANCASTER ST E,2,ROAD,MAJOR,7.0,12.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,94.99980968722929
2772,VINTAGE CRES,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1976.0,471.343755528125
2773,MARISA ST,2,ROAD,LOCAL,9.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1993.0,199.29594512631402
2774,GUELPH ST,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,82.6997839131767
2775,DOON VILLAGE RD,4,ROAD,MINOR,15.0,27.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,Y,1999.0,400.528706930158
2776,DOON MILLS DR,2,ROAD,MINOR,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2002.0,125.606780017405
2777,GRAND RIVER BLVD,2,ROAD,MINOR,10.0,20.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,N,1978.0,207.796241552797
2778,TRILLIUM PARK PL,1,BULB,LOCAL,12.0,43.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1860.0,70.1251973659281
2779,BANFF PL,1,BULB,LOCAL,9.0,20.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1968.0,83.5123562524315
2780,WELLINGTON ST N,2,ROAD,MINOR,11.0,20.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,112.24684231558099
2781,ROBERT FERRIE DR,2,ROUNDABOUT,MINOR,10.0,18.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,,25.9958792012945
2782,ISAIAH DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2007.0,79.94943740580041
2783,BRIERDALE DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1987.0,95.30678505654859
2784,WESTFOREST TRAIL,2,ROAD,MINOR,12.0,24.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,N,1989.0,74.61179019543191
2785,ALPINE RD,3,ROAD,MINOR,15.0,26.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,303.29757264281
2786,ALPINE RD,3,ROAD,MINOR,11.0,26.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,114.527214735634
2787,GRAND HILL DR,2,ROAD,LOCAL,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1993.0,109.00418959525601
2788,COMMONWEALTH ST,2,ROAD,LOCAL,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2006.0,80.2563253181811
2789,COMMONWEALTH ST,2,ROAD,LOCAL,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2003.0,87.1217592656393
2790,CONFEDERATION DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,Y,1966.0,187.024205967234
2791,OLDFIELD DR,2,ROAD,MINOR,10.0,20.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,Y,1986.0,231.125424483098
2792,WILD MEADOW ST,2,ROAD,LOCAL,8.0,16.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2007.0,117.85257350597
2793,DEER RIDGE DR,2,ROAD,MINOR,10.0,18.0,PAVED,TwoWay,PAVED,1,50,NO ACCESS,N,1998.0,86.81708280586659
2794,WELLINGTON ST S,2,ROAD,MAJOR,7.0,20.0,PAVED,TwoWay,PAVED,5,50,NO ACCESS,N,1854.0,121.245897223731
2795,STRASBURG RD,4,ROAD,MAJOR,14.0,26.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,507.501495851158
2796,KENNETH AVE,1,BULB,LOCAL,9.0,60.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1961.0,132.014127442404
2797,BIEHN DR,1,BULB,LOCAL,10.0,26.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1987.0,56.153551917707006
2798,WINDALE CRES,2,ROAD,LOCAL,11.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2007.0,548.0223250770939
2799,WESTHEIGHTS DR,4,ROAD,MINOR,14.0,26.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,64.6196981829992
2800,ASPEN AVE,2,ROAD,LOCAL,9.0,16.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1961.0,221.64794211078097
2801,GREENFIELD AVE,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2006.0,100.185768111455
2802,GREENFIELD AVE,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2006.0,90.39302311599079
2803,AUTUMN RIDGE TRAIL,2,ROAD,MINOR,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1997.0,352.465408452073
2804,WESTWOOD DR,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,Y,2001.0,273.879893750547
2805,ADA ST,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1958.0,102.557023962234
2806,ADA ST,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1958.0,102.626766492851
2807,GENERAL DR,2,ROAD,LOCAL,9.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1991.0,286.693006866647
2808,BELMONT LANE E,2,ROAD,LANE,9.0,9.0,PAVED,TwoWay,PAVED,8,50,NO ACCESS,N,1932.0,186.60715321630403
2809,COLTON CIR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2006.0,181.671231703563
2810,RIVER RD E,3,ROAD,MAJOR,14.0,30.0,GRAVEL,TwoWay,PAVED,6,50,7-7 MON-SUN,N,,296.22313960898
2811,RIVER RD E,3,ROAD,MAJOR,14.0,30.0,GRAVEL,TwoWay,PAVED,6,50,7-7 MON-SUN,N,,73.9114740318873
2812,DINISON CRES,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1979.0,15.8675245713698
2813,HIGHLAND RD E,2,ROAD,MAJOR,11.0,24.0,PAVED,TwoWay,PAVED,3,50,7-7 MON-SUN,Y,1948.0,141.346687778302
2814,HIGHLAND RD E,2,ROAD,MAJOR,11.0,24.0,PAVED,TwoWay,PAVED,3,50,7-7 MON-SUN,N,1905.0,294.32992471614
2815,WESTMOUNT RD W,5,ROAD,MAJOR,17.0,26.0,PAVED,TwoWay,PAVED,6,50,7-7 MON-FRI,N,,170.049251874102
2816,WESTMOUNT RD W,5,ROAD,MAJOR,16.0,27.0,PAVED,TwoWay,PAVED,6,50,7-7 MON-FRI,N,,183.50219646908798
2817,WESTMOUNT RD W,5,ROAD,MAJOR,16.0,26.0,PAVED,TwoWay,PAVED,6,50,7-7 MON-FRI,N,,142.484530190322
2818,LANCASTER ST W,2,ROAD,MAJOR,9.0,18.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,156.165472728358
2819,KING ST W,3,ROAD,MAJOR,13.0,19.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,347.594467593104
2820,,2,ROAD,LANE,0.0,6.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,36.984772112684
2821,KINGSWAY DR,2,ROAD,MINOR,11.0,15.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,100.326791037664
2822,LANCASTER ST W,2,ROAD,MAJOR,11.0,20.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,253.61406359295398
2823,KING ST BYPASS(HWY 8) KIT BND,2,HIGHWAY,HIGHWAY,11.0,389.0,PAVED,FromTo,PAVED,0,50,24HR,N,,320.42849101497103
2824,EDENBRIDGE DR,2,ROAD,MINOR,10.0,23.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,Y,1986.0,89.7674176350743
2825,BINGEMANS CENTRE DR,2,ROAD,MAJOR,25.0,30.0,PAVED,TwoWay,PAVED,6,50,24HR,N,1983.0,216.757895871533
2826,DRIFTWOOD DR,2,ROAD,MINOR,10.0,20.0,PAVED,TwoWay,PAVED,4,40,NO ACCESS,Y,2001.0,319.429664740754
2827,ORCHID CRES,2,ROAD,LOCAL,9.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1995.0,369.839722583887
2828,CRANSHAW ST,2,ROAD,LOCAL,7.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2005.0,81.09155254127859
2829,FARMINGTON PL,2,ROAD,LOCAL,7.0,43.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1980.0,82.62218147475241
