OBJECTID,ACCIDENTNUM,ACCIDENTDATE,LOCATION,ACCIDENT_LOCATION,IMPACT_LOCATION,ENVIRONMENT_CONDITION,LIGHT,COLLISION_TYPE,TRAFFICCOLLISIONSID
5692,17-285193,20171217,TRILLIUM DR @ STRASBURG RD,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5693,17-293130,20171228,VANIER DR @ SIEBERT AVE,03-At intersection,01-Within intersection,01-Clear,07-Dark,INTERSECTION,
5694,18-014992,20180119,WILSON AVE @ KINGSWAY DR,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
5695,18-033985,20180212,WABANAKI DR @ WILSON AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5696,18-034760,20180213,WABANAKI DR @ WILSON AVE,02-Intersection related,04-Right turn lane,01-Clear,01-Daylight,INTERSECTION,
5697,18-009426,20180109,FRANKLIN ST S @ KINGSWAY DR,02-Intersection related,04-Right turn lane,01-Clear,07-Dark,INTERSECTION,
5698,18-009380,20180112,WABANAKI DR @ WILSON AVE,02-Intersection related,04-Right turn lane,05-Drifting Snow,"08-Dark, artificial",INTERSECTION,
5699,17-281123,20171212,WILSON AVE @ WEBSTER RD,02-Intersection related,02-Thru lane,03-Snow,03-Dawn,INTERSECTION,
5700,18-028297,20180205,WOOLWICH ST @ FALCONRIDGE DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5701,18-020324,20180126,FRANKLIN ST S @ KINGSWAY DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5702,18-020348,20180126,GLASGOW ST @ PARK ST,03-At intersection,01-Within intersection,01-Clear,03-Dawn,INTERSECTION,
5703,15-243129,20151112,FOURTH AVE @ KINGSWAY DR,03-At intersection,01-Within intersection,06-Strong wind,01-Daylight,INTERSECTION,
5704,15-240672,20151109,ACTIVA AVE @ DAVID BERGEY DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5705,15-258561,20151202,CLARK AVE @ BROADMOOR AVE,02-Intersection related,99-Other,01-Clear,"08-Dark, artificial",INTERSECTION,
5706,16-007617,20160111,QUEENS BLVD @ EAGEN DR,03-At intersection,01-Within intersection,05-Drifting Snow,01-Daylight,INTERSECTION,
5707,15-255751,20151129,KELLY DR @ QUEENS BLVD,02-Intersection related,11-Not on roadway - right side,01-Clear,07-Dark,INTERSECTION,
5708,15-255073,20151128,ACTIVA AVE @ BRIDLEWREATH ST,02-Intersection related,10-Not on roadway - left side,01-Clear,07-Dark,INTERSECTION,
5709,15-230268,20151026,CONNAUGHT ST @ FRANKLIN ST S,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5710,15-260822,20151205,ELM RIDGE DR @ HILLBROOK CRES,02-Intersection related,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
5711,15-266642,20151213,VANIER DR @ SIEBERT AVE,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
5712,15-242529,20151111,VANIER DR @ SIEBERT AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5713,15-230299,20151027,RIVER RD E @ LORRAINE AVE,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5714,15-232171,20151029,WILSON AVE @ FAIRWAY RD S,02-Intersection related,03-Left turn lane,01-Clear,01-Daylight,INTERSECTION,
5715,15-243328,20151112,MASSEY AVE @ VANIER DR,01-Non intersection,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
5716,15-250185,20151121,CHARLES ST E @ SYDNEY ST S,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5717,15-233493,20151031,CHARLES ST E @ SYDNEY ST S,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5718,15-257661,20151201,CHARLES ST E @ SYDNEY ST S,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
5719,15-267092,20151214,ONTARIO ST N @ GOUDIES LANE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5720,15-185697,20150831,GOUDIES LANE @ QUEEN ST N,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5721,15-246627,20151116,WOODLAND AVE @ MILL ST,02-Intersection related,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
5722,16-007685,20160111,KING ST W @ GAUKEL ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5723,15-272750,20151222,DUMFRIES AVE @ KRUG ST,03-At intersection,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
5724,15-270892,20151219,MAXWELL DR @ OLD HURON RD,02-Intersection related,09-Right shoulder,03-Snow,01-Daylight,INTERSECTION,
5725,15-271253,20151220,BRUDER AVE @ BENTON ST,02-Intersection related,10-Not on roadway - left side,01-Clear,"08-Dark, artificial",INTERSECTION,
5726,15-229753,20151026,SHANLEY ST @ DUKE ST W,02-Intersection related,10-Not on roadway - left side,01-Clear,01-Daylight,INTERSECTION,
5727,15-269821,20151218,CEDARWOODS CRES @ KINGSWAY DR,03-At intersection,01-Within intersection,01-Clear,03-Dawn,INTERSECTION,
5728,15-249333,20151120,FARRIER DR @ DOON VILLAGE RD / MILLWOOD CRES,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5729,16-001681,20160103,RIVER RD E @ HICKSON DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5730,15-249599,20151120,STIRLING AVE S @ MILL ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5731,15-277447,20151230,KENNETH AVE @ FRANKLIN ST N,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
5732,16-005410,20160108,DOON SOUTH DR @ DOON VILLAGE RD,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5733,15-233594,20151031,RIVER RD E @ HALLIWELL DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5734,16-009569,20160114,LOUISA ST @ ST LEGER ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5735,15-270872,20151218,BLOCK LINE RD @ STRASBURG RD,02-Intersection related,02-Thru lane,03-Snow,"08-Dark, artificial",INTERSECTION,
5736,16-006355,20160109,BLOCK LINE RD @ STRASBURG RD,03-At intersection,01-Within intersection,"07-Fog, mist, smoke, dust","08-Dark, artificial",INTERSECTION,
5737,14-089137,20140424,MAX BECKER DR @ BRIDLEWREATH ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5738,14-121183,20140531,MAX BECKER DR @ BRIDLEWREATH ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5739,14-083602,20140418,MCGARRY DR @ ROYAL ORCHARD DR,02-Intersection related,11-Not on roadway - right side,01-Clear,"08-Dark, artificial",INTERSECTION,
5740,14-086677,20140421,WILSON AVE @ FAIRWAY RD S,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5741,14-076282,20140409,WILSON AVE @ KINGSWAY DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5742,14-080758,20140415,WOODHAVEN RD @ WILSON AVE,02-Intersection related,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
5743,14-087210,20140423,NATCHEZ RD @ ROTHSAY AVE,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5744,14-092193,20140429,NINTH AVE @ KINGSWAY DR,02-Intersection related,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
5745,14-076786,20140409,OLD COUNTRY DR @ CENTURY HILL DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5746,14-115986,20140526,OLD COUNTRY DR @ STRASBURG RD,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5747,14-211216,20140915,STANLEY AVE @ SCHWEITZER ST,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
5748,15-089550,20150429,MILL ST @ HEIMAN ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5749,15-187243,20150902,QUEEN ST S @ HALLS LANE E,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5750,15-097307,20150509,HALLS LANE E @ BENTON ST,02-Intersection related,09-Right shoulder,01-Clear,"08-Dark, artificial",INTERSECTION,
5751,15-183074,20150828,MCLENNAN PARK GATE @ BLOCK LINE RD,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5752,15-181763,20150814,BLOCK LINE RD @ STRASBURG RD,02-Intersection related,03-Left turn lane,01-Clear,01-Daylight,INTERSECTION,
5753,15-100065,20150512,RIVER RD E @ GRAND RIVER BLVD,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5754,15-117235,20150518,BELMONT AVE W @ ADELAIDE ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5755,15-156684,20150724,BELMONT AVE E @ SOUTH DR,02-Intersection related,10-Not on roadway - left side,01-Clear,"08-Dark, artificial",INTERSECTION,
5756,15-173929,20150816,SIENNA CRES @ VERONA ST,02-Intersection related,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
5757,15-172316,20150813,RIVER RD E @ RENNIE DR,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
5758,15-130272,20150619,LANCASTER ST E @ KRUG ST / CEDAR ST N,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5759,15-192972,20150909,DUMFRIES AVE @ KRUG ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5760,15-188803,20150904,CONNAUGHT ST @ FIFTH AVE,02-Intersection related,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
5761,14-269912,20141127,AGNES ST @ WALTER ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5762,15-122992,20150610,WILDERNESS DR @ BUSH CLOVER CRES / ACTIVA AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5763,15-179855,20150823,OTTAWA ST N @ RIVER RD E,02-Intersection related,03-Left turn lane,01-Clear,"02-Daylight, artificial",INTERSECTION,
5764,15-122749,20150610,OTTAWA ST N @ RIVER RD E,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5765,15-137664,20150627,OTTAWA ST N @ RIVER RD E,02-Intersection related,03-Left turn lane,01-Clear,01-Daylight,INTERSECTION,
5766,15-131817,20150621,MANCHESTER RD @ RIVER RD E,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5767,15-189764,20150905,FIRST AVE @ KINGSWAY DR / SECOND AVE,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5768,15-141257,20150703,FRANKLIN ST S @ KINGSWAY DR,02-Intersection related,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
5769,14-010577,20140114,BLOCK LINE RD @ STRASBURG RD,02-Intersection related,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
5770,14-021835,20140129,BLOCK LINE RD @ STRASBURG RD,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5771,14-012693,20140117,SYDNEY ST S @ DELTA ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5772,14-023539,20140131,KING ST E @ QUEEN ST N,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5773,13-295826,20131224,HIGHLAND RD E @ HOFFMAN ST,03-At intersection,01-Within intersection,01-Clear,07-Dark,INTERSECTION,
5774,14-015874,20140121,WABANAKI DR @ WILSON AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5775,13-289815,20131216,RIVER RD E @ HOLBORN DR,03-At intersection,01-Within intersection,01-Clear,07-Dark,INTERSECTION,
5776,13-289989,20131209,GLASGOW ST @ ABERDEEN RD,03-At intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
5777,13-290366,20131217,MAUSSER AVE @ STIRLING AVE S,02-Intersection related,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
5778,13-290465,20131217,WESTHEIGHTS DR @ ROLLING MEADOWS DR,03-At intersection,02-Thru lane,03-Snow,"08-Dark, artificial",INTERSECTION,
5779,14-028546,20140206,BIRKSHIRE CRT @ LORRAINE AVE,03-At intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
5780,13-299176,20131230,KINZIE AVE @ RIVER RD E,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5781,13-287087,20131212,HARTWOOD AVE @ ELLIS AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5782,14-005568,20140108,OTTAWA ST N @ RIVER RD E,02-Intersection related,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
5783,14-014983,20140120,THE COUNTRY WAY @ TUERR DR,02-Intersection related,12-Off highway,01-Clear,01-Daylight,INTERSECTION,
5784,13-289853,20131216,GRAND RIVER BLVD @ MORRISON RD,02-Intersection related,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
5785,14-028157,20140206,OLDFIELD DR @ WENDY CRES / MICHENER CRES,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5786,14-001674,20140103,HARTWOOD AVE @ ELLIS AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5787,14-004364,20140107,KINGSWOOD DR @ GRACEFIELD CRES,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5788,14-028487,20140206,CHERRY ST @ STRANGE ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5789,14-004666,20140106,HIGHLAND RD W @ WESTHEIGHTS DR / WESTFOREST TRAIL,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5790,17-178595,20170811,OLD COUNTRY DR @ STRASBURG RD,02-Intersection related,11-Not on roadway - right side,02-Rain,01-Daylight,INTERSECTION,
5791,17-194314,20170830,HURON RD @ WOODBINE AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5792,17-130739,20170614,TRILLIUM DR @ STRASBURG RD,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5793,17-211134,20170919,TRILLIUM DR @ SHOEMAKER ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5794,17-199060,20170905,DAVID ST @ JOSEPH ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5795,17-196528,20170902,WATERLOO ST @ WELLINGTON ST N,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5796,17-194358,20170830,WELLINGTON ST N @ SPRING VALLEY RD,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5797,17-162819,20170722,WELLINGTON ST N @ ST LEGER ST,02-Intersection related,02-Thru lane,02-Rain,05-Dusk,INTERSECTION,
5798,17-191940,20170827,WESTWOOD DR @ DAYMAN CRT,02-Intersection related,12-Off highway,01-Clear,01-Daylight,INTERSECTION,
5799,17-095422,20170503,WILSON AVE @ FAIRWAY RD S,02-Intersection related,04-Right turn lane,01-Clear,01-Daylight,INTERSECTION,
5800,17-194798,20170831,WILSON AVE @ TRAYNOR AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5801,17-117380,20170528,FREDERICK ST @ AVON RD,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5802,17-266968,20171124,JOSEPH ST @ LINDEN AVE,03-At intersection,01-Within intersection,01-Clear,07-Dark,INTERSECTION,
5803,17-288445,20171221,OLD COUNTRY DR @ CENTURY HILL DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5804,17-255218,20171110,OLD HURON RD @ BATTLER RD,02-Intersection related,02-Thru lane,01-Clear,03-Dawn,INTERSECTION,
5805,17-270808,20171129,UNION BLVD @ BELMONT AVE W,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5806,17-281587,20171212,BORDEN AVE N @ KING ST E / BORDEN AVE S,02-Intersection related,99-Other,03-Snow,05-Dusk,INTERSECTION,
5807,17-175937,20170808,CARSON DR @ CONFEDERATION DR,02-Intersection related,09-Right shoulder,01-Clear,07-Dark,INTERSECTION,
5808,17-292935,20171225,CONNAUGHT ST @ FRANKLIN ST S,02-Intersection related,09-Right shoulder,03-Snow,99-Other,INTERSECTION,
5809,17-288374,20171221,RIVER RD E @ CORONET LANE,02-Intersection related,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
5810,17-285371,20171212,DONNENWERTH DR @ ACTIVA AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5811,17-254925,20171109,PIONEER DR @ DOON VILLAGE RD,03-At intersection,01-Within intersection,03-Snow,07-Dark,INTERSECTION,
5812,17-277475,20171207,PIONEER DR @ DOON VILLAGE RD,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5813,18-003666,20180105,PIONEER DR @ DOON VILLAGE RD,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
5814,17-252351,20171105,HARTWOOD AVE @ ELLIS AVE,03-At intersection,01-Within intersection,01-Clear,07-Dark,INTERSECTION,
5815,18-002790,20180104,BLOCK LINE RD @ FALLOWFIELD DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5816,17-254055,20171108,EAST AVE @ KRUG ST,02-Intersection related,02-Thru lane,02-Rain,07-Dark,INTERSECTION,
5817,18-004701,20180106,STIRLING AVE S @ GREENBROOK DR,02-Intersection related,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
5818,17-284534,20171215,GLASGOW ST @ PARK ST,02-Intersection related,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
5819,18-007200,20180110,KING ST E @ CAMERON ST S / CAMERON ST N,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5820,17-289837,20171223,EBY ST S @ EBY ST N / KING ST E,02-Intersection related,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
5821,17-248357,20171102,BLOCK LINE RD @ KINGSWOOD DR,02-Intersection related,03-Left turn lane,02-Rain,01-Daylight,INTERSECTION,
5822,18-015679,20180120,PIONEER DR @ BECHTEL DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5823,17-259667,20171115,QUEEN ST N @ ROY ST,03-At intersection,01-Within intersection,02-Rain,07-Dark,INTERSECTION,
5824,17-289777,20171223,UNION BLVD @ AVONDALE AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5825,17-287564,20171220,MANITOU DR @ WABANAKI DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5826,18-001221,20171215,WELLINGTON ST N @ MARGARET AVE,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5827,18-000833,20171230,WEBER ST E @ KINZIE AVE,02-Intersection related,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
5828,17-290580,20171224,SAMUEL ST @ KRUG ST,03-At intersection,01-Within intersection,03-Snow,05-Dusk,INTERSECTION,
5829,17-286975,20171219,QUEENS BLVD @ EAGEN DR,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
5830,18-003124,20180102,RIVER RD E @ LORRAINE AVE,02-Intersection related,04-Right turn lane,01-Clear,01-Daylight,INTERSECTION,
5831,17-257441,20171113,SPADINA RD E @ QUEENS BLVD / SPADINA RD W,02-Intersection related,11-Not on roadway - right side,02-Rain,"08-Dark, artificial",INTERSECTION,
5832,17-244212,20171028,FIRST AVE @ ECKERT ST,02-Intersection related,10-Not on roadway - left side,02-Rain,07-Dark,INTERSECTION,
5833,17-256163,20171111,QUEEN ST N @ MARGARET AVE / OTTO ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5834,17-256188,20171111,RIVER RD E @ GIBSON DR,02-Intersection related,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
5835,17-293050,20171223,RIVER RD E @ HOLBORN DR,02-Intersection related,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
5836,17-263089,20171120,ROLLING MEADOWS DR @ CONNELLY DR,02-Intersection related,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
5837,17-263144,20171120,ROLLING MEADOWS DR @ CONNELLY DR,02-Intersection related,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
5838,18-007954,20180110,FOREST EDGE TRAIL @ CHESTNUT HILL CRES,02-Intersection related,02-Thru lane,02-Rain,07-Dark,INTERSECTION,
5839,17-292256,20171224,MAX BECKER DR @ BRIDLEWREATH ST,03-At intersection,01-Within intersection,03-Snow,"06-Dusk, artificial",INTERSECTION,
5840,17-250965,20171029,FRANKLIN ST S @ KINGSWAY DR,03-At intersection,01-Within intersection,02-Rain,07-Dark,INTERSECTION,
5841,17-258204,20171114,WESTHEIGHTS DR @ MCGARRY DR,02-Intersection related,10-Not on roadway - left side,01-Clear,"08-Dark, artificial",INTERSECTION,
5842,17-222778,20171002,ACTIVA AVE @ SNOWDROP CRES,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5843,15-252911,20151124,WATER ST N @ DUKE ST W,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5844,15-257569,20151201,FLORAL CRES @ DOON RD,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
5845,15-268746,20151216,HEIMAN ST @ HIGHLAND RD E,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
5846,15-270626,20151219,CENTURY HILL DR @ COUNTRY HILL DR,02-Intersection related,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
5847,15-273025,20151218,QUEENS BLVD @ BELMONT AVE W / BELMONT AVE E,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5848,15-228169,20151024,FORWELL RD @ CENTENNIAL RD,02-Intersection related,11-Not on roadway - right side,01-Clear,"02-Daylight, artificial",INTERSECTION,
5849,15-232502,20151030,WILSON AVE @ WEBSTER RD,02-Intersection related,02-Thru lane,01-Clear,"04-Dawn, artificial",INTERSECTION,
5850,16-005481,20160107,VILLAGE RD @ WESTMOUNT RD E,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5851,15-275279,20151226,CEDAR ST N @ DUKE ST E,03-At intersection,01-Within intersection,02-Rain,07-Dark,INTERSECTION,
5852,15-268568,20151216,VANIER DR @ WALTON AVE,02-Intersection related,02-Thru lane,"07-Fog, mist, smoke, dust",01-Daylight,INTERSECTION,
5853,15-193520,20150910,MANSION ST @ EDNA ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5854,16-002214,20160104,KING ST W @ ONTARIO ST S / ONTARIO ST N,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5855,15-267901,20151215,KING ST W @ ONTARIO ST S / ONTARIO ST N,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5856,15-270515,20151219,KING ST W @ ONTARIO ST S / ONTARIO ST N,03-At intersection,02-Thru lane,03-Snow,"08-Dark, artificial",INTERSECTION,
5857,15-255095,20151128,PEACHWOOD CRT @ MANCHESTER RD / PEACHWOOD AVE,02-Intersection related,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
5858,15-211446,20151002,WATER ST S @ JUBILEE DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5859,15-270510,20151218,RIVER RD E @ OLD CHICOPEE DR,02-Intersection related,11-Not on roadway - right side,03-Snow,07-Dark,INTERSECTION,
5860,15-250705,20151122,RIVER RD E @ OLD CHICOPEE DR,03-At intersection,01-Within intersection,03-Snow,"08-Dark, artificial",INTERSECTION,
5861,15-240242,20151108,ELLEN ST W @ QUEEN ST N / ELLEN ST E,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5862,15-249397,20151120,WILSON AVE @ TRAYNOR AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5863,15-276193,20151228,WILSON AVE @ TRAYNOR AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5864,15-255816,20151127,WABANAKI DR @ WILSON AVE,03-At intersection,05-Right turn channel,01-Clear,01-Daylight,INTERSECTION,
5865,14-130221,20140611,GLEN RD @ PLEASANT AVE,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5866,14-140429,20140623,GOLDEN MEADOW DR @ HIGHVIEW DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5867,14-173175,20140801,GREEN VALLEY DR @ PIONEER DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5868,14-106315,20140515,RIVER RD E @ HOLBORN DR,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
5869,14-093950,20140501,STIRLING AVE S @ MILL ST,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5870,14-199078,20140902,PARK ST @ GREEN ST,03-At intersection,03-Left turn lane,02-Rain,01-Daylight,INTERSECTION,
5871,14-179331,20140809,BRIDLEWREATH ST @ DONNENWERTH DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5872,14-106445,20140515,HOMER WATSON BLVD @ STIRLING AVE S,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5873,14-184104,20140815,HOMER WATSON BLVD @ HOMER WATSON BLVD,02-Intersection related,03-Left turn lane,01-Clear,01-Daylight,INTERSECTION,
5874,14-139974,20140622,RIVER RD E @ HOLBORN DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5875,14-203068,20140906,RIVER RD E @ HOLBORN DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5876,14-201123,20140904,PARK ST @ AGNES ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5877,14-105394,20140514,RIVER RD E @ FREDERICK ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5878,14-158368,20140709,HOMER WATSON BLVD @ HOMER WATSON BLVD,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5879,14-116869,20140527,DOMINION ST @ PARK ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5880,14-126122,20140606,CEDAR ST N @ KING ST E / CEDAR ST S,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5881,14-132026,20140613,BLOCK LINE RD @ STRASBURG RD,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5882,14-168184,20140726,BLOCK LINE RD @ STRASBURG RD,02-Intersection related,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
5883,14-155716,20140711,QUEEN ST S @ CHURCH ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5884,14-184161,20140815,UNION ST @ BOND ST,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5885,14-171413,20140730,RIVER RD E @ FREDERICK ST,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5886,14-119199,20140530,JUBILEE DR @ THERESA ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
