Region_of_Origin|District_of_Origin|County_of_Origin|Period|GenderDescription|AgeClassDescription|Average_BusUsers_per_Day
"R2 - AM Porto"|"Porto"|"Gondomar"|"Sep-20 to Jan-21"|"Male"|"55-64"|2257.790977
"R2 - AM Porto"|"Porto"|"Gondomar"|"Sep-20 to Jan-21"|"Male"|"65+"|3504.809322
"R2 - AM Porto"|"Porto"|"Maia"|"Sep-20 to Jan-21"|"Female"|"15-24"|458.625209
"R2 - AM Porto"|"Porto"|"Maia"|"Sep-20 to Jan-21"|"Female"|"25-34"|640.869203
"R2 - AM Porto"|"Porto"|"Maia"|"Sep-20 to Jan-21"|"Female"|"35-44"|138.791331
"R2 - AM Porto"|"Porto"|"Maia"|"Sep-20 to Jan-21"|"Female"|"45-54"|1205.591396
"R2 - AM Porto"|"Porto"|"Maia"|"Sep-20 to Jan-21"|"Female"|"55-64"|414.680964
"R2 - AM Porto"|"Porto"|"Maia"|"Sep-20 to Jan-21"|"Female"|"65+"|3087.379969
"R2 - AM Porto"|"Porto"|"Maia"|"Sep-20 to Jan-21"|"Male"|"15-24"|218.028919
"R2 - AM Porto"|"Porto"|"Maia"|"Sep-20 to Jan-21"|"Male"|"25-34"|1502.522974
"R2 - AM Porto"|"Porto"|"Maia"|"Sep-20 to Jan-21"|"Male"|"35-44"|882.475302
"R2 - AM Porto"|"Porto"|"Maia"|"Sep-20 to Jan-21"|"Male"|"45-54"|92.392382
"R2 - AM Porto"|"Porto"|"Maia"|"Sep-20 to Jan-21"|"Male"|"55-64"|2148.822951
"R2 - AM Porto"|"Porto"|"Maia"|"Sep-20 to Jan-21"|"Male"|"65+"|8596.305685
"R2 - AM Porto"|"Porto"|"Matosinhos"|"Sep-20 to Jan-21"|"Female"|"15-24"|352.632026
"R2 - AM Porto"|"Porto"|"Matosinhos"|"Sep-20 to Jan-21"|"Female"|"25-34"|491.327932
"R2 - AM Porto"|"Porto"|"Matosinhos"|"Sep-20 to Jan-21"|"Female"|"35-44"|582.805507
"R2 - AM Porto"|"Porto"|"Matosinhos"|"Sep-20 to Jan-21"|"Female"|"45-54"|988.858826
"R2 - AM Porto"|"Porto"|"Matosinhos"|"Sep-20 to Jan-21"|"Female"|"55-64"|2753.474588
"R2 - AM Porto"|"Porto"|"Matosinhos"|"Sep-20 to Jan-21"|"Female"|"65+"|1561.770240
"R2 - AM Porto"|"Porto"|"Matosinhos"|"Sep-20 to Jan-21"|"Male"|"15-24"|285.538633
"R2 - AM Porto"|"Porto"|"Matosinhos"|"Sep-20 to Jan-21"|"Male"|"25-34"|106.349285
"R2 - AM Porto"|"Porto"|"Matosinhos"|"Sep-20 to Jan-21"|"Male"|"35-44"|409.150588
"R2 - AM Porto"|"Porto"|"Matosinhos"|"Sep-20 to Jan-21"|"Male"|"45-54"|1862.092843
"R2 - AM Porto"|"Porto"|"Matosinhos"|"Sep-20 to Jan-21"|"Male"|"55-64"|1901.737429
"R2 - AM Porto"|"Porto"|"Matosinhos"|"Sep-20 to Jan-21"|"Male"|"65+"|1197.436174
"R2 - AM Porto"|"Porto"|"Paredes"|"Sep-20 to Jan-21"|"Female"|"25-34"|240.284699
"R2 - AM Porto"|"Porto"|"Paredes"|"Sep-20 to Jan-21"|"Female"|"35-44"|224.706308
"R2 - AM Porto"|"Porto"|"Paredes"|"Sep-20 to Jan-21"|"Male"|"35-44"|60.632825
"R2 - AM Porto"|"Porto"|"Paredes"|"Sep-20 to Jan-21"|"Male"|"45-54"|85.516088
"R2 - AM Porto"|"Porto"|"Porto"|"Sep-20 to Jan-21"|"Female"|"15-24"|677.336777
"R2 - AM Porto"|"Porto"|"Porto"|"Sep-20 to Jan-21"|"Female"|"25-34"|415.004160
"R2 - AM Porto"|"Porto"|"Porto"|"Sep-20 to Jan-21"|"Female"|"35-44"|654.807128
"R2 - AM Porto"|"Porto"|"Porto"|"Sep-20 to Jan-21"|"Female"|"45-54"|1198.805374
"R2 - AM Porto"|"Porto"|"Porto"|"Sep-20 to Jan-21"|"Female"|"55-64"|2237.054054
"R2 - AM Porto"|"Porto"|"Porto"|"Sep-20 to Jan-21"|"Female"|"65+"|7867.453847
"R2 - AM Porto"|"Porto"|"Porto"|"Sep-20 to Jan-21"|"Male"|"25-34"|910.283068
"R2 - AM Porto"|"Porto"|"Porto"|"Sep-20 to Jan-21"|"Male"|"35-44"|857.322229
"R2 - AM Porto"|"Porto"|"Porto"|"Sep-20 to Jan-21"|"Male"|"45-54"|1637.997776
"R2 - AM Porto"|"Porto"|"Porto"|"Sep-20 to Jan-21"|"Male"|"55-64"|283.036268
"R2 - AM Porto"|"Porto"|"Porto"|"Sep-20 to Jan-21"|"Male"|"65+"|6940.273923
"R2 - AM Porto"|"Porto"|"Póvoa de Varzim"|"Sep-20 to Jan-21"|"Female"|"25-34"|11.574446
"R2 - AM Porto"|"Porto"|"Póvoa de Varzim"|"Sep-20 to Jan-21"|"Female"|"35-44"|181.693481
"R2 - AM Porto"|"Porto"|"Póvoa de Varzim"|"Sep-20 to Jan-21"|"Female"|"45-54"|104.828180
"R2 - AM Porto"|"Porto"|"Póvoa de Varzim"|"Sep-20 to Jan-21"|"Male"|"25-34"|39.465245
"R2 - AM Porto"|"Porto"|"Póvoa de Varzim"|"Sep-20 to Jan-21"|"Male"|"35-44"|1042.130337
"R2 - AM Porto"|"Porto"|"Santo Tirso"|"Sep-20 to Jan-21"|"Female"|"25-34"|42.254964
"R2 - AM Porto"|"Porto"|"Santo Tirso"|"Sep-20 to Jan-21"|"Female"|"35-44"|29.620199
"R2 - AM Porto"|"Porto"|"Santo Tirso"|"Sep-20 to Jan-21"|"Male"|"25-34"|13.274129
"R2 - AM Porto"|"Porto"|"Trofa"|"Sep-20 to Jan-21"|"Female"|"25-34"|47.813025
"R2 - AM Porto"|"Porto"|"Trofa"|"Sep-20 to Jan-21"|"Female"|"35-44"|5.725633
"R2 - AM Porto"|"Porto"|"Trofa"|"Sep-20 to Jan-21"|"Female"|"55-64"|41.747919
"R2 - AM Porto"|"Porto"|"Trofa"|"Sep-20 to Jan-21"|"Male"|"25-34"|51.031943
"R2 - AM Porto"|"Porto"|"Trofa"|"Sep-20 to Jan-21"|"Male"|"35-44"|18.224723
"R2 - AM Porto"|"Porto"|"Trofa"|"Sep-20 to Jan-21"|"Male"|"45-54"|474.481242
"R2 - AM Porto"|"Porto"|"Valongo"|"Sep-20 to Jan-21"|"Female"|"15-24"|716.605474
"R2 - AM Porto"|"Porto"|"Valongo"|"Sep-20 to Jan-21"|"Female"|"25-34"|375.431820
"R2 - AM Porto"|"Porto"|"Valongo"|"Sep-20 to Jan-21"|"Female"|"35-44"|482.568197
"R2 - AM Porto"|"Porto"|"Valongo"|"Sep-20 to Jan-21"|"Female"|"45-54"|508.757510
"R2 - AM Porto"|"Porto"|"Valongo"|"Sep-20 to Jan-21"|"Female"|"55-64"|548.550137
"R2 - AM Porto"|"Porto"|"Valongo"|"Sep-20 to Jan-21"|"Male"|"15-24"|1970.347331
"R2 - AM Porto"|"Porto"|"Valongo"|"Sep-20 to Jan-21"|"Male"|"25-34"|366.664832
"R2 - AM Porto"|"Porto"|"Valongo"|"Sep-20 to Jan-21"|"Male"|"35-44"|104.137265
"R2 - AM Porto"|"Porto"|"Valongo"|"Sep-20 to Jan-21"|"Male"|"45-54"|135.788585
"R2 - AM Porto"|"Porto"|"Valongo"|"Sep-20 to Jan-21"|"Male"|"55-64"|26.218829
"R2 - AM Porto"|"Porto"|"Valongo"|"Sep-20 to Jan-21"|"Male"|"65+"|1198.556609
"R2 - AM Porto"|"Porto"|"Vila do Conde"|"Sep-20 to Jan-21"|"Female"|"25-34"|283.342437
"R2 - AM Porto"|"Porto"|"Vila do Conde"|"Sep-20 to Jan-21"|"Female"|"35-44"|9.758835
"R2 - AM Porto"|"Porto"|"Vila do Conde"|"Sep-20 to Jan-21"|"Female"|"45-54"|76.844212
"R2 - AM Porto"|"Porto"|"Vila do Conde"|"Sep-20 to Jan-21"|"Male"|"25-34"|13.155082
"R2 - AM Porto"|"Porto"|"Vila do Conde"|"Sep-20 to Jan-21"|"Male"|"35-44"|17.975581
"R2 - AM Porto"|"Porto"|"Vila do Conde"|"Sep-20 to Jan-21"|"Male"|"55-64"|74.179387
"R2 - AM Porto"|"Porto"|"Vila Nova de Gaia"|"Sep-20 to Jan-21"|"Female"|"15-24"|192.148169
"R2 - AM Porto"|"Porto"|"Vila Nova de Gaia"|"Sep-20 to Jan-21"|"Female"|"25-34"|439.988329
"R2 - AM Porto"|"Porto"|"Vila Nova de Gaia"|"Sep-20 to Jan-21"|"Female"|"35-44"|439.588499
"R2 - AM Porto"|"Porto"|"Vila Nova de Gaia"|"Sep-20 to Jan-21"|"Female"|"45-54"|1251.779779
"R2 - AM Porto"|"Porto"|"Vila Nova de Gaia"|"Sep-20 to Jan-21"|"Female"|"55-64"|1075.529529
"R2 - AM Porto"|"Porto"|"Vila Nova de Gaia"|"Sep-20 to Jan-21"|"Female"|"65+"|1653.152713
"R2 - AM Porto"|"Porto"|"Vila Nova de Gaia"|"Sep-20 to Jan-21"|"Male"|"15-24"|4452.188395
"R2 - AM Porto"|"Porto"|"Vila Nova de Gaia"|"Sep-20 to Jan-21"|"Male"|"25-34"|363.461965
"R2 - AM Porto"|"Porto"|"Vila Nova de Gaia"|"Sep-20 to Jan-21"|"Male"|"35-44"|214.023515
"R2 - AM Porto"|"Porto"|"Vila Nova de Gaia"|"Sep-20 to Jan-21"|"Male"|"45-54"|1443.335763
"R2 - AM Porto"|"Porto"|"Vila Nova de Gaia"|"Sep-20 to Jan-21"|"Male"|"55-64"|374.627538
